,Transactions,24884,
,,,
Index,Row Labels,Count of Transaction,Frequency
1,UNKNOWN,1454,5.843%
2,REGENCY CAKESTAND 3 TIER,286,1.149%
3,POSTAGE,272,1.093%
4,WHITE HANGING HEART T-LIGHT HOLDER,206,0.828%
5,RABBIT NIGHT LIGHT,166,0.667%
6,PARTY BUNTING,153,0.615%
7,ASSORTED COLOUR BIRD ORNAMENT,120,0.482%
8,PAPER CHAIN KIT 50'S CHRISTMAS ,104,0.418%
9,JUMBO BAG RED RETROSPOT,103,0.414%
10,DOORMAT KEEP CALM AND COME IN,103,0.414%
11,JAM MAKING SET WITH JARS,101,0.406%
12,SET OF 3 CAKE TINS PANTRY DESIGN ,99,0.398%
13,SET OF 3 REGENCY CAKE TINS,94,0.378%
14,CHILLI LIGHTS,92,0.370%
15,SPOTTY BUNTING,86,0.346%
16,VICTORIAN GLASS HANGING T-LIGHT,83,0.334%
17,HEART OF WICKER SMALL,82,0.330%
18,LUNCH BAG RED RETROSPOT,80,0.321%
19,WOOD BLACK BOARD ANT WHITE FINISH,75,0.301%
20,ROSES REGENCY TEACUP AND SAUCER ,75,0.301%
21,ANTIQUE SILVER T-LIGHT GLASS,74,0.297%
22,REX CASH+CARRY JUMBO SHOPPER,70,0.281%
23,HANGING HEART JAR T-LIGHT HOLDER,67,0.269%
24,EDWARDIAN PARASOL NATURAL,64,0.257%
25,EDWARDIAN PARASOL BLACK,63,0.253%
26,BAKING SET 9 PIECE RETROSPOT ,62,0.249%
27,NATURAL SLATE HEART CHALKBOARD ,60,0.241%
28,JAM MAKING SET PRINTED,60,0.241%
29,DOORMAT RED RETROSPOT,60,0.241%
30,POPCORN HOLDER,59,0.237%
31,RECIPE BOX PANTRY YELLOW DESIGN,59,0.237%
32,RED HANGING HEART T-LIGHT HOLDER,58,0.233%
33,JUMBO BAG APPLES,58,0.233%
34,DOORMAT UNION FLAG,58,0.233%
35,STRAWBERRY CERAMIC TRINKET BOX,57,0.229%
36,SET OF 4 PANTRY JELLY MOULDS,56,0.225%
37,HOT WATER BOTTLE KEEP CALM,56,0.225%
38,CREAM SWEETHEART MINI CHEST,55,0.221%
39,BLACK RECORD COVER FRAME,55,0.221%
40,HEART OF WICKER LARGE,52,0.209%
41,NATURAL SLATE CHALKBOARD LARGE ,51,0.205%
42,HOME BUILDING BLOCK WORD,51,0.205%
43,DOORMAT NEW ENGLAND,50,0.201%
44,RED TOADSTOOL LED NIGHT LIGHT,49,0.197%
45,JUMBO BAG TOYS ,49,0.197%
46,JUMBO BAG ALPHABET,49,0.197%
47,ALARM CLOCK BAKELIKE RED ,49,0.197%
48,SMALL GLASS HEART TRINKET POT,48,0.193%
49,JUMBO BAG 50'S CHRISTMAS ,48,0.193%
50,LUNCH BAG CARS BLUE,48,0.193%
51,JUMBO BAG PINK POLKADOT,48,0.193%
52,WHITE WOOD GARDEN PLANT LADDER,47,0.189%
53,PINK REGENCY TEACUP AND SAUCER,47,0.189%
54,GARDENERS KNEELING PAD KEEP CALM ,47,0.189%
55,ASSORTED COLOURS SILK FAN,47,0.189%
56,RETROSPOT TEA SET CERAMIC 11 PC ,46,0.185%
57,JUMBO  BAG BAROQUE BLACK WHITE,46,0.185%
58,JUMBO BAG OWLS,46,0.185%
59,COLOUR GLASS T-LIGHT HOLDER HANGING,46,0.185%
60,CLASSIC GLASS COOKIE JAR,46,0.185%
61,SMALL POPCORN HOLDER,45,0.181%
62,SET OF 6 SPICE TINS PANTRY DESIGN,45,0.181%
63,IVORY KITCHEN SCALES,45,0.181%
64,ENAMEL FLOWER JUG CREAM,45,0.181%
65,RED RETROSPOT CAKE STAND,44,0.177%
66,CHRISTMAS LIGHTS 10 REINDEER,44,0.177%
67,CHOCOLATE HOT WATER BOTTLE,44,0.177%
68,ALARM CLOCK BAKELIKE GREEN,44,0.177%
69,WOOD 2 DRAWER CABINET WHITE FINISH,43,0.173%
70,JUMBO BAG WOODLAND ANIMALS,43,0.173%
71,T-LIGHT GLASS FLUTED ANTIQUE,42,0.169%
72,VINTAGE UNION JACK BUNTING,42,0.169%
73,WOODEN FRAME ANTIQUE WHITE ,42,0.169%
74,WOODEN PICTURE FRAME WHITE FINISH,42,0.169%
75,POLYESTER FILLER PAD 40x40cm,42,0.169%
76,JUMBO STORAGE BAG SUKI,42,0.169%
77,SET/5 RED RETROSPOT LID GLASS BOWLS,41,0.165%
78,SWEETHEART CAKESTAND 3 TIER,41,0.165%
79,SILVER HANGING T-LIGHT HOLDER,41,0.165%
80,JUMBO BAG STRAWBERRY,41,0.165%
81,BREAD BIN DINER STYLE IVORY,41,0.165%
82,PAPER BUNTING WHITE LACE,40,0.161%
83,GREEN REGENCY TEACUP AND SAUCER,40,0.161%
84,HANGING JAM JAR T-LIGHT HOLDER,40,0.161%
85,JUMBO BAG DOILEY PATTERNS,40,0.161%
86,COLOURING PENCILS BROWN TUBE,40,0.161%
87,PLEASE ONE PERSON METAL SIGN,39,0.157%
88,15CM CHRISTMAS GLASS BALL 20 LIGHTS,39,0.157%
89,JUMBO BAG VINTAGE DOILY ,38,0.153%
90,HOMEMADE JAM SCENTED CANDLES,38,0.153%
91,ANTIQUE SILVER TEA GLASS ENGRAVED,38,0.153%
92,ZINC METAL HEART DECORATION,37,0.149%
93,SET 6 SCHOOL MILK BOTTLES IN CRATE,37,0.149%
94,SET OF TEA COFFEE SUGAR TINS PANTRY,37,0.149%
95,SCOTTIE DOG HOT WATER BOTTLE,37,0.149%
96,PICNIC BASKET WICKER LARGE,37,0.149%
97,PAPER CHAIN KIT VINTAGE CHRISTMAS,37,0.149%
98,DOORMAT HEARTS,37,0.149%
99,3 HOOK PHOTO SHELF ANTIQUE WHITE,37,0.149%
100,WOOD S/3 CABINET ANT WHITE FINISH,36,0.145%
101,ENAMEL BREAD BIN CREAM,36,0.145%
102,CLASSIC METAL BIRDCAGE PLANT HOLDER,36,0.145%
103,RETROSPOT HEART HOT WATER BOTTLE,35,0.141%
104,PAPER CHAIN KIT EMPIRE,35,0.141%
105,LARGE WHITE HEART OF WICKER,35,0.141%
106,RECYCLING BAG RETROSPOT ,34,0.137%
107,RED KITCHEN SCALES,34,0.137%
108,MULTI COLOUR SILVER T-LIGHT HOLDER,34,0.137%
109,JUMBO SHOPPER VINTAGE RED PAISLEY,34,0.137%
110,LUNCH BAG  BLACK SKULL.,34,0.137%
111,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,34,0.137%
112,JUMBO BAG VINTAGE LEAF,34,0.137%
113,6 RIBBONS RUSTIC CHARM,34,0.137%
114,WOODLAND CHARLOTTE BAG,33,0.133%
115,SET/20 RED RETROSPOT PAPER NAPKINS ,33,0.133%
116,PARISIENNE KEY CABINET ,33,0.133%
117,PAPER BUNTING RETROSPOT,33,0.133%
118,LUNCH BAG APPLE DESIGN,33,0.133%
119,TRAVEL CARD WALLET KEEP CALM,32,0.129%
120,REGENCY TEAPOT ROSES ,32,0.129%
121,LUNCH BAG WOODLAND,32,0.129%
122,LUNCH BOX I LOVE LONDON,32,0.129%
123,GUMBALL COAT RACK,32,0.129%
124,LUNCH BAG SUKI DESIGN ,32,0.129%
125,CHARLOTTE BAG SUKI DESIGN,32,0.129%
126,SMALL WHITE HEART OF WICKER,31,0.125%
127,RED DINER WALL CLOCK,31,0.125%
128,RED RETROSPOT CHARLOTTE BAG,31,0.125%
129,LARGE CIRCULAR MIRROR MOBILE,31,0.125%
130,KEY FOB ,31,0.125%
131,LUNCH BAG PINK POLKADOT,31,0.125%
132,GINGERBREAD MAN COOKIE CUTTER,31,0.125%
133,COLOUR GLASS. STAR T-LIGHT HOLDER,31,0.125%
134,AGED GLASS SILVER T-LIGHT HOLDER,31,0.125%
135,SET OF 10 LED DOLLY LIGHTS,30,0.121%
136,REGENCY TEA PLATE ROSES ,30,0.121%
137,PANTRY MAGNETIC  SHOPPING LIST,30,0.121%
138,VINTAGE CREAM DOG FOOD CONTAINER,29,0.117%
139,WICKER STAR ,29,0.117%
140,VINTAGE SNAP CARDS,29,0.117%
141,SET OF 12 FAIRY CAKE BAKING CASES,29,0.117%
142,RED RETROSPOT PICNIC BAG,29,0.117%
143,RED METAL BOX TOP SECRET,29,0.117%
144,PACK OF 72 RETROSPOT CAKE CASES,29,0.117%
145,PICNIC BASKET WICKER SMALL,29,0.117%
146,HAND OVER THE CHOCOLATE   SIGN ,29,0.117%
147,LOVE HOT WATER BOTTLE,29,0.117%
148,JUMBO BAG VINTAGE CHRISTMAS ,29,0.117%
149,JUMBO BAG PAISLEY PARK,29,0.117%
150,GIANT 50'S CHRISTMAS CRACKER,29,0.117%
151,DOORMAT FAIRY CAKE,29,0.117%
152,CLOTHES PEGS RETROSPOT PACK 24 ,29,0.117%
153,COOK WITH WINE METAL SIGN ,29,0.117%
154,SPACEBOY LUNCH BOX ,28,0.113%
155,SET/4 WHITE RETRO STORAGE CUBES ,28,0.113%
156,CERAMIC CAKE STAND + HANGING CAKES,28,0.113%
157,BAKING SET SPACEBOY DESIGN,28,0.113%
158,UNION STRIPE WITH FRINGE  HAMMOCK,27,0.109%
159,ZINC T-LIGHT HOLDER STARS SMALL,27,0.109%
160,POLYESTER FILLER PAD 45x45cm,27,0.109%
161,LUNCH BAG SPACEBOY DESIGN ,27,0.109%
162,IVORY DINER WALL CLOCK,27,0.109%
163,HAND WARMER OWL DESIGN,27,0.109%
164,DOORMAT ENGLISH ROSE ,27,0.109%
165,FAMILY PHOTO FRAME CORNICE,27,0.109%
166,DOORMAT WELCOME TO OUR HOME,27,0.109%
167,FAMILY ALBUM WHITE PICTURE FRAME,27,0.109%
168,BOX OF 6 MINI VINTAGE CRACKERS,27,0.109%
169,CHRISTMAS PUDDING TRINKET POT ,27,0.109%
170,CREAM HEART CARD HOLDER,27,0.109%
171,BOX OF 6 CHRISTMAS CAKE DECORATIONS,27,0.109%
172,SET/6 RED SPOTTY PAPER PLATES,26,0.104%
173,SOLDIERS EGG CUP ,26,0.104%
174,JAM JAR WITH PINK LID,26,0.104%
175,HOT WATER BOTTLE TEA AND SYMPATHY,26,0.104%
176,ENAMEL MEASURING JUG CREAM,26,0.104%
177,ASSORTED COLOUR MINI CASES,26,0.104%
178,ZINC FOLKART SLEIGH BELLS,25,0.100%
179,SET OF 72 RETROSPOT PAPER  DOILIES,25,0.100%
180,ROTATING SILVER ANGELS T-LIGHT HLDR,25,0.100%
181,ROUND SNACK BOXES SET OF4 WOODLAND ,25,0.100%
182,PARISIENNE CURIO CABINET,25,0.100%
183,LUNCH BAG ALPHABET DESIGN,25,0.100%
184,FELTCRAFT 6 FLOWER FRIENDS,25,0.100%
185,FAIRY CAKE FLANNEL ASSORTED COLOUR,25,0.100%
186,AIRLINE BAG VINTAGE TOKYO 78,25,0.100%
187,VINTAGE  2 METER FOLDING RULER,24,0.096%
188,VINTAGE DOILY TRAVEL SEWING KIT,24,0.096%
189,SWEETHEART RECIPE BOOK STAND,24,0.096%
190,RETROSPOT PARTY BAG + STICKER SET,24,0.096%
191,PINK CREAM FELT CRAFT TRINKET BOX ,24,0.096%
192,LOVE SEAT ANTIQUE WHITE METAL,24,0.096%
193,DOLLY GIRL LUNCH BOX,24,0.096%
194,GRAND CHOCOLATECANDLE,24,0.096%
195,BROCADE RING PURSE ,24,0.096%
196,BOTANICAL GARDENS WALL CLOCK ,24,0.096%
197,WORLD WAR 2 GLIDERS ASSTD DESIGNS,23,0.092%
198,TRADITIONAL KNITTING NANCY,23,0.092%
199,PIGGY BANK RETROSPOT ,23,0.092%
200,PACK OF 12 LONDON TISSUES ,23,0.092%
201,MIRRORED DISCO BALL ,23,0.092%
202,OPEN CLOSED METAL SIGN,23,0.092%
203,LANTERN CREAM GAZEBO ,23,0.092%
204,HANGING HEART ZINC T-LIGHT HOLDER,23,0.092%
205,JUMBO BAG PINK VINTAGE PAISLEY,23,0.092%
206,GIN + TONIC DIET METAL SIGN,23,0.092%
207,GARDENERS KNEELING PAD CUP OF TEA ,23,0.092%
208,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,23,0.092%
209,TEA TIME PARTY BUNTING,22,0.088%
210,VINTAGE HEADS AND TAILS CARD GAME ,22,0.088%
211,SET OF 3 BUTTERFLY COOKIE CUTTERS,22,0.088%
212,RECORD FRAME 7 SINGLE SIZE ,22,0.088%
213,PLAYING CARDS KEEP CALM & CARRY ON,22,0.088%
214,RED RETROSPOT MINI CASES,22,0.088%
215,PINK BABY BUNTING,22,0.088%
216,HOT BATHS METAL SIGN,22,0.088%
217,JUMBO BAG PEARS,22,0.088%
218,DOORMAT FANCY FONT HOME SWEET HOME,22,0.088%
219,CHARLOTTE BAG PINK POLKADOT,22,0.088%
220,CLASSIC CAFE SUGAR DISPENSER,22,0.088%
221,ALARM CLOCK BAKELIKE IVORY,22,0.088%
222,ALARM CLOCK BAKELIKE PINK,22,0.088%
223,VINTAGE DOILY JUMBO BAG RED ,21,0.084%
224,TRADITIONAL MODELLING CLAY,21,0.084%
225,WRAP 50'S  CHRISTMAS,21,0.084%
226,VICTORIAN SEWING BOX LARGE,21,0.084%
227,WOODEN HEART CHRISTMAS SCANDINAVIAN,21,0.084%
228,TRADITIONAL WOODEN SKIPPING ROPE,21,0.084%
229,SET 7 BABUSHKA NESTING BOXES,21,0.084%
230,PINK HAPPY BIRTHDAY BUNTING,21,0.084%
231,RED  HARMONICA IN BOX ,21,0.084%
232,RED RETROSPOT BOWL,21,0.084%
233,RECIPE BOX RETROSPOT ,21,0.084%
234,RED RETROSPOT UMBRELLA,21,0.084%
235,MINI LIGHTS WOODLAND MUSHROOMS,21,0.084%
236,MEMO BOARD RETROSPOT  DESIGN,21,0.084%
237,JUMBO STORAGE BAG SKULLS,21,0.084%
238,DOORMAT BLACK FLOCK ,21,0.084%
239,GINGHAM HEART DECORATION,21,0.084%
240,CARD MOTORBIKE SANTA,21,0.084%
241,ALARM CLOCK BAKELIKE CHOCOLATE,21,0.084%
242,ALARM CLOCK BAKELIKE ORANGE,21,0.084%
243,VINTAGE CHRISTMAS BUNTING,20,0.080%
244,TRAVEL SEWING KIT,20,0.080%
245,WOODEN STAR CHRISTMAS SCANDINAVIAN,20,0.080%
246,WOODEN ROUNDERS GARDEN SET ,20,0.080%
247,SET 3 PAPER VINTAGE CHICK PAPER EGG,20,0.080%
248,SET/3 RED GINGHAM ROSE STORAGE BOX,20,0.080%
249,REVOLVER WOODEN RULER ,20,0.080%
250,REGENCY MILK JUG PINK ,20,0.080%
251,RED RETROSPOT SHOPPER BAG,20,0.080%
252,RED RETROSPOT WRAP ,20,0.080%
253,PARISIENNE JEWELLERY DRAWER ,20,0.080%
254,PACK OF 60 PINK PAISLEY CAKE CASES,20,0.080%
255,PAPER CHAIN KIT RETROSPOT,20,0.080%
256,PHOTO FRAME 3 CLASSIC HANGING,20,0.080%
257,HAND WARMER BABUSHKA DESIGN,20,0.080%
258,IVORY GIANT GARDEN THERMOMETER,20,0.080%
259,HAND WARMER BIRD DESIGN,20,0.080%
260,LADIES & GENTLEMEN METAL SIGN,20,0.080%
261,LARGE CAKE STAND  HANGING STRAWBERY,20,0.080%
262,HOT WATER BOTTLE I AM SO POORLY,20,0.080%
263,DOORMAT HOME SWEET HOME BLUE ,20,0.080%
264,FELTCRAFT CUSHION OWL,20,0.080%
265,CLASSIC CHROME BICYCLE BELL ,20,0.080%
266,CAKE STAND 3 TIER MAGIC GARDEN,20,0.080%
267,BOX OF VINTAGE ALPHABET BLOCKS,20,0.080%
268,CHILDRENS APRON SPACEBOY DESIGN,20,0.080%
269,BLUE POLKADOT BOWL,20,0.080%
270,60 TEATIME FAIRY CAKE CASES,20,0.080%
271,BLUE HARMONICA IN BOX ,20,0.080%
272, SET 2 TEA TOWELS I LOVE LONDON ,20,0.080%
273,ANTIQUE GLASS DRESSING TABLE POT,20,0.080%
274,TRIPLE PHOTO FRAME CORNICE ,19,0.076%
275,WHITE SKULL HOT WATER BOTTLE ,19,0.076%
276,VINTAGE RED KITCHEN CABINET,19,0.076%
277,VINTAGE UNION JACK MEMOBOARD,19,0.076%
278,STRAWBERRY FAIRY CAKE TEAPOT,19,0.076%
279,STRAWBERRY LUNCH BOX WITH CUTLERY,19,0.076%
280,SET OF 3 WOODEN HEART DECORATIONS,19,0.076%
